Name,Price (gp),Weight (lb.),Category,Properties,AC,Damage,Tags,Source
Abacus,2,2,Adventuring Gear,,,,adventuring gear;wood,PHB
Acid (vial),25,1,Adventuring Gear,,,,adventuring gear;alchemy,PHB
Alchemist's Fire (flask),50,1,Adventuring Gear,,,,adventuring gear;alchemy,PHB
Antitoxin (vial),50,0,Adventuring Gear,,,,adventuring gear;alchemy,PHB
Backpack,2,5,Adventuring Gear,,,,adventuring gear;common;leather,PHB
Ball Bearing,0.001,0.002,Adventuring Gear,,,,adventuring gear;clockwork;metal,PHB
"Ball Bearings (bag of 1,000)",1,2,Adventuring Gear,,,,adventuring gear;clockwork;metal,PHB
Barrel,2,70,Adventuring Gear,,,,adventuring gear;common;wood,PHB
Basket,0.4,2,Adventuring Gear,,,,adventuring gear;common,PHB
Bedroll,1,7,Adventuring Gear,,,,adventuring gear;common;textile,PHB
Bell,1,0,Adventuring Gear,,,,adventuring gear;common;metal,PHB
Black Sap,300,0,Adventuring Gear,,,,adventuring gear;criminal;nature,EGW
Blanket,0.5,3,Adventuring Gear,,,,adventuring gear;common;textile,PHB
Blight Ichor,200,0,Adventuring Gear,,,,adventuring gear;criminal;nature,EGW
Block and Tackle,1,5,Adventuring Gear,,,,adventuring gear;common;metal;wood,PHB
Book,25,5,Adventuring Gear,,,,adventuring gear,PHB
Bucket,0.05,2,Adventuring Gear,,,,adventuring gear;common;metal;wood,PHB
Bullseye Lantern,10,2,Adventuring Gear,,,,adventuring gear;metal,PHB
Burglar's Pack,16,44.5,Adventuring Gear,,,,adventuring gear;criminal,PHB
Caltrop,0.05,0.1,Adventuring Gear,,,,adventuring gear;metal;military,PHB
Caltrops (bag of 20),1,2,Adventuring Gear,,,,adventuring gear;metal;military,PHB
Candle,0.01,0,Adventuring Gear,,,,adventuring gear;common,PHB
Chain (10 feet),5,10,Adventuring Gear,,,,adventuring gear;metal,PHB
Chalk (1 piece),0.01,0,Adventuring Gear,,,,adventuring gear;common,PHB
Chest,5,25,Adventuring Gear,,,,adventuring gear;common;metal;wood,PHB
Climber's Kit,25,12,Adventuring Gear,,,,adventuring gear;leather;textile,PHB
"Clothing, cold weather",10,5,Adventuring Gear,,,,adventuring gear;common;leather;textile,IDRotF
Common Clothes,0.5,3,Adventuring Gear,,,,adventuring gear;common;textile,PHB
Component Pouch,25,2,Adventuring Gear,,,,adventuring gear;leather;magic,PHB
Costume Clothes,5,4,Adventuring Gear,,,,adventuring gear;textile,PHB
Crampons,2,0.25,Adventuring Gear,,,,adventuring gear;metal,IDRotF
Crossbow Bolt Case,1,1,Adventuring Gear,,,,adventuring gear;military;wood,PHB
Crowbar,2,5,Adventuring Gear,,,,adventuring gear;common;metal,PHB
Diplomat's Pack,39,36,Adventuring Gear,,,,adventuring gear,PHB
Dungeoneer's Pack,12,61.5,Adventuring Gear,,,,adventuring gear,PHB
Entertainer's Pack,40,38,Adventuring Gear,,,,adventuring gear,PHB
Explorer's Pack,10,59,Adventuring Gear,,,,adventuring gear,PHB
Fine Clothes,15,6,Adventuring Gear,,,,adventuring gear;luxury;textile,PHB
Fishing Tackle,1,4,Adventuring Gear,,,,adventuring gear;common,PHB
Flask,0.02,1,Adventuring Gear,,,,adventuring gear;common;kiln;metal,PHB
Glass Bottle,2,2,Adventuring Gear,,,,adventuring gear;common;kiln,PHB
Grappling Hook,2,4,Adventuring Gear,,,,adventuring gear;metal,PHB
Hammer,1,3,Adventuring Gear,,,,adventuring gear;common;metal,PHB
Healer's Kit,5,3,Adventuring Gear,,,,adventuring gear;alchemy;nature,PHB
Hempen Rope (50 feet),1,10,Adventuring Gear,,,,adventuring gear;common,PHB
Holy Water (flask),25,1,Adventuring Gear,,,,adventuring gear;divine;magic,PHB
Hooded Lantern,5,2,Adventuring Gear,,,,adventuring gear;metal,PHB
Hourglass,25,1,Adventuring Gear,,,,adventuring gear;alchemy;clockwork;kiln,PHB
